country,Price,Features,Safety,Security,Privacy,Reliability,User Reviews,Expert Rec,Friend or Family Rec,Convenience
France,0.18711235523354738,0.11273944782918931,0.012624183544651188,0.03178000987979582,0.07711729513145617,0.059388550414402545,0.010318897853888797,0.01366705088094846,0.008891816235797793,0.4863603929963225
Italy,0.28978742193906515,0.40484450892575535,0.03974011228158708,0.01110199962152274,0.0311612943922286,0.09714249668832398,0.020437772030530498,0.026934964990853467,0.010092726928657036,0.06875670220147606
Germany,0.22717279788949143,0.34537593433973324,0.018027260735746738,0.06404807269529532,0.07489374175582589,0.13938150373735894,0.026527920269676094,0.03576139528066833,0.03319654111094826,0.035614832185255754
United States,0.26297909407665504,0.22813588850174216,0.03614982578397213,0.09250871080139372,0.0871951219512195,0.1381533101045296,0.041289198606271775,0.05749128919860627,0.018118466898954706,0.037979094076655055
Brazil,0.32702658620127223,0.32180720926439405,0.016310552927744252,0.06540531724025445,0.04110259337791551,0.09509052356874897,0.021693035393899853,0.0314793671505464,0.016310552927744252,0.06377426194748002
Mexico,0.296113074204947,0.3734982332155477,0.07137809187279152,0.03109540636042403,0.0303886925795053,0.02862190812720848,0.017314487632508833,0.045936395759717315,0.010247349823321554,0.09540636042402827
United Kingdom,0.24133377352261473,0.2532188841201717,0.04159788709144932,0.10168372400132057,0.06767910201386597,0.13172664245625618,0.0468801584681413,0.050841862000660286,0.01914823374050842,0.045889732585011556
Spain,0.24405646359583952,0.30646359583952454,0.06426448736998513,0.031203566121842496,0.04086181277860327,0.02563150074294205,0.020059435364041606,0.030460624071322436,0.017830609212481426,0.21916790490341753
Canada,0.2458498023715415,0.19960474308300397,0.03359683794466403,0.06679841897233202,0.08616600790513834,0.13438735177865613,0.03320158102766799,0.04703557312252964,0.014624505928853756,0.13873517786561265
Switzerland,0.1554379210779596,0.28103946102021177,0.02406159769008662,0.04571703561116458,0.07844080846968239,0.12704523580365737,0.02165543792107796,0.02791145332050048,0.028873917228103944,0.20981713185755535
India,0.3151790216843167,0.3071104387291982,0.07060010085728693,0.07463439233484619,0.05395864851235502,0.059001512859304085,0.022188603126575897,0.029752899646999495,0.01361573373676248,0.05395864851235502
Australia,0.23310170562223625,0.24131396083385975,0.037271004421983576,0.08022741629816804,0.06443461781427669,0.1490840176879343,0.06253948199620973,0.05811749842072015,0.024636765634870498,0.049273531269740996
Belgium,0.1806981519507187,0.1375770020533881,0.019164955509924708,0.030800821355236138,0.08281998631074607,0.07597535934291581,0.01026694045174538,0.01574264202600958,0.009582477754962354,0.43737166324435317
Argentina,0.2801330008312552,0.3349958437240233,0.05652535328345802,0.02743142144638404,0.03657522859517872,0.03408146300914381,0.019118869492934332,0.04156275976724855,0.021612635078969242,0.1479634247714048
Austria,0.19189412737799835,0.3904052936311001,0.018196856906534328,0.062034739454094295,0.06617038875103391,0.14722911497105046,0.03225806451612903,0.030603804797353185,0.028122415219189414,0.033085194375516956
Colombia,0.30962343096234307,0.34414225941422594,0.08054393305439331,0.027196652719665274,0.027196652719665274,0.029288702928870293,0.016736401673640166,0.036610878661087864,0.008368200836820083,0.1202928870292887
Chile,0.3157894736842105,0.38070175438596493,0.05087719298245614,0.03859649122807018,0.031578947368421054,0.028070175438596492,0.02631578947368421,0.03508771929824561,0.008771929824561403,0.08421052631578947
Venezuela,0.43080357142857145,0.26785714285714285,0.06696428571428571,0.024553571428571428,0.020089285714285716,0.033482142857142856,0.015625,0.03571428571428571,0.011160714285714286,0.09375
Ecuador,0.35251798561151076,0.26618705035971224,0.09832134292565947,0.05755395683453238,0.045563549160671464,0.02158273381294964,0.009592326139088728,0.03836930455635491,0.026378896882494004,0.08393285371702638
